key,arts,astronomy,biology,chemistry,engineering,english,geology,history,humanities,literature,math,music,philosophy,physics,All
aunt,3,0,1,1,0,0,0,1,0,0,0,3,1,0,10
boy,0,1,2,0,0,0,0,0,0,0,5,1,0,1,10
daughter,0,0,0,0,0,4,0,0,0,6,0,0,0,0,10
father,0,1,0,0,3,0,0,3,0,1,1,0,0,1,10
female,0,0,4,1,0,0,2,0,2,1,0,0,0,0,10
girl,5,0,0,0,0,2,0,0,1,0,0,2,0,0,10
grandma,1,0,1,0,0,2,2,1,3,0,0,0,0,0,10
grandpa,0,0,1,1,0,0,0,4,2,0,0,1,1,0,10
husband,0,3,0,1,3,0,0,0,0,1,0,0,0,2,10
male,0,2,0,1,3,0,0,0,0,0,1,0,1,2,10
man,0,0,0,0,0,0,0,1,0,0,0,0,4,5,10
mother,0,1,0,1,0,3,1,0,0,0,0,2,2,0,10
son,0,1,0,0,1,0,0,0,0,0,1,0,0,7,10
uncle,0,0,3,3,0,0,1,1,0,0,0,0,1,1,10
wife,0,1,0,1,0,0,0,0,1,6,0,0,1,0,10
woman,1,0,0,0,0,0,4,0,1,1,0,2,1,0,10
All,10,10,12,10,10,11,10,11,10,16,8,11,12,19,160
