key,val
grandpa,history
wife,literature
aunt,music
husband,engineering
grandma,biology
man,philosophy
father,physics
daughter,english
woman,arts
male,astronomy
female,geology
mother,chemistry
girl,humanities
son,math
boy,biology
uncle,physics
male,engineering
woman,music
daughter,literature
uncle,history
aunt,arts
son,physics
father,math
grandpa,philosophy
husband,astronomy
female,biology
mother,geology
wife,chemistry
grandma,humanities
man,philosophy
girl,english
boy,biology
man,philosophy
aunt,music
wife,literature
girl,arts
grandpa,history
father,engineering
boy,physics
daughter,english
son,astronomy
grandma,humanities
female,biology
male,physics
husband,chemistry
uncle,geology
mother,music
woman,literature
wife,literature
aunt,music
grandpa,history
girl,arts
female,biology
father,engineering
son,physics
mother,philosophy
daughter,english
grandma,humanities
woman,geology
uncle,chemistry
boy,astronomy
husband,physics
male,philosophy
man,history
girl,music
wife,literature
mother,philosophy
female,humanities
male,engineering
son,physics
aunt,history
daughter,english
husband,astronomy
man,physics
uncle,biology
grandma,arts
woman,geology
boy,math
grandpa,chemistry
father,literature
daughter,literature
male,engineering
woman,philosophy
boy,math
father,history
grandpa,humanities
son,physics
mother,english
girl,music
husband,astronomy
man,physics
uncle,biology
wife,literature
aunt,arts
female,chemistry
grandma,geology
boy,music
son,physics
father,engineering
grandma,history
wife,literature
uncle,chemistry
aunt,arts
husband,physics
man,philosophy
female,humanities
male,math
grandpa,biology
woman,geology
girl,english
mother,astronomy
daughter,literature
girl,arts
son,physics
grandpa,history
daughter,literature
husband,engineering
aunt,philosophy
woman,geology
wife,humanities
uncle,biology
boy,math
mother,music
grandma,english
father,astronomy
man,physics
male,chemistry
female,literature
son,engineering
woman,music
boy,math
male,physics
girl,arts
father,history
uncle,philosophy
grandpa,humanities
daughter,literature
female,biology
man,physics
mother,english
wife,astronomy
aunt,chemistry
grandma,geology
husband,literature
father,history
son,physics
male,astronomy
daughter,literature
mother,english
boy,math
wife,philosophy
woman,humanities
husband,engineering
girl,arts
uncle,chemistry
man,physics
aunt,biology
female,geology
grandpa,music
grandma,english
